method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_uv_joint,100.0,2,False,False,99.19440238600325,0.7231266497671069,nan,99.17729747647167,23.99130922678955,99.98439119930472,7.4099754450029485,6.12357327130189,7.5651021832449885,6.660012027448966,106111.61807869926,90
ba_polar_plain_joint,100.0,2,False,False,99.19440238600325,0.7231266497671069,nan,5.573301247118792,4.609872817729048,2.7418720856155083,0.8569075230565569,0.4061511669013451,0.6398049634374636,0.3934732209046864,4301.48187109829,90
ba_polar_cov_joint,100.0,2,False,False,99.19440238600325,0.7231266497671069,nan,36.596783850795475,19.58942584348422,37.14168947076665,6.254024113652966,4.87368421360469,6.376636490783243,4.87368421360469,34354.66052508635,90
ba_polar_staged,100.0,2,False,True,99.19440238600325,0.7231266497671069,0.24614511232358766,0.24624887466779335,0.22197372657015416,0.1192371447686812,0.6296825267660507,0.05657265736294487,0.12530049984189506,0.052854820031406416,5067.485630606748,91
ba_uv_joint,100.0,3,False,False,101.25071696279794,0.8741236119334929,nan,54.38754335868488,17.371963232846767,56.07111162190455,4.876981650372155,1.624859485786782,4.952069878804372,1.624859485786782,32898.98349471401,90
ba_polar_plain_joint,100.0,3,False,False,101.25071696279794,0.8741236119334929,nan,36.22007878530677,16.59627580868653,29.29785318797065,3.3895789791219917,0.6501038945060915,3.4662145533859094,0.6468629623558421,11825.011217636964,90
ba_polar_cov_joint,100.0,3,False,False,101.25071696279794,0.8741236119334929,nan,62.20200784867095,30.487738156153974,61.61932147952406,4.922156233680123,2.3274670576141223,4.998078302544163,2.3274670576141223,39847.602124337034,90
ba_polar_staged,100.0,3,False,True,101.25071696279794,0.8741236119334929,0.2830130128147006,0.28222690144755586,0.19832908095275603,0.21670738577572363,0.6293257558078009,0.049828692495533476,0.12340290059211158,0.04786067372013722,5091.279328406366,91
ba_uv_joint,100.0,4,False,False,107.73815180552431,0.930874780545687,nan,53.61162619964622,8.952473592183663,55.17676763241162,6.242537197143387,4.342423091608325,6.351717291165635,4.342423091608325,48270.9153463299,90
ba_polar_plain_joint,100.0,4,False,False,107.73815180552431,0.930874780545687,nan,19.545119051972577,17.125150232416765,13.782536831902782,2.4852524350635736,0.6553946081413398,2.53259861503129,0.6329966392827076,12810.711662588114,90
ba_polar_cov_joint,100.0,4,False,False,107.73815180552431,0.930874780545687,nan,13.34063161003339,13.042012852181458,7.561810266788499,4.086790039144635,3.203162776973083,4.159630960507869,3.3576624544315505,21581.76835779843,90
ba_polar_staged,100.0,4,False,True,107.73815180552431,0.930874780545687,1.0665797498221736,1.0665019580150268,0.9937748164279782,0.5065650056404202,0.6920651394727163,0.14906529895705584,0.3219176131644567,0.14821834943536324,5253.903479918626,88
ba_uv_joint,100.0,5,False,False,95.28625472237354,0.8537373684581371,nan,95.27944110099548,23.99831283025542,99.99273985140798,7.026859817060932,5.339158368916564,7.167261636834791,5.573427084014646,95013.97312846029,90
ba_polar_plain_joint,100.0,5,False,False,95.28625472237354,0.8537373684581371,nan,156.67531667773318,24.11798756323351,163.1138358213206,6.542058586514493,4.956952220997506,6.702385112805077,5.342261216624706,32156.899085254987,90
ba_polar_cov_joint,100.0,5,False,False,95.28625472237354,0.8537373684581371,nan,33.324949162497795,23.998614538388814,31.179266719818457,6.649741315112906,5.342223794303652,6.813658778673604,5.591409240178504,38119.42536147414,90
ba_polar_staged,100.0,5,False,True,95.28625472237354,0.8537373684581371,0.4282243052332064,0.3213663484771743,0.1451443939761256,0.2928740578782304,0.6249462693523234,0.058563675732986084,0.1096593026139967,0.053915463652275744,5062.030877778529,93
ba_uv_joint,140.0,0,False,False,147.7551097147085,0.8452234860823095,nan,95.4844026395388,12.874474860580976,97.07709883454507,4.7301420269126435,1.0487082911579177,4.802324493313582,1.0487082911579177,63275.08914409823,90
ba_polar_plain_joint,140.0,0,False,False,147.7551097147085,0.8452234860823095,nan,24.468115834482898,11.929336150704284,24.091040797865173,3.137465277428222,0.6156774410290545,3.142004371202544,0.5998643206670758,7272.230064525809,90
