method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
polar_plain_joint,15.0,7,True,True,0.1667261436963399,-0.042682718519491125,-0.03250228200452124,0.16776455016174457,482.72586956248756,12,2.0797827125718653,0.09592237645031469
polar_cov_joint,15.0,7,True,True,0.012491771818765852,-0.012700170239945952,-0.001631134090876977,0.002354678176066556,221.29599707318692,13,2.0840008528848997,0.09573485042773103
polar_staged,15.0,7,True,True,0.01249174701881545,-0.012700146161534474,-0.001631122590581242,0.002354674336548653,221.29599707319016,23,2.0840008554835325,0.09573485035963324
uv_joint,15.0,8,True,True,0.017525381071865315,-0.01669248439016455,-0.0065036003852632866,0.0031991150045442406,243.30563675202646,9,2.0834359343140565,0.0957642684106441
polar_plain_joint,15.0,8,True,True,0.1667263388851745,-0.042682275186110376,-0.032502061993916274,0.1677648147864926,482.7258695625547,16,2.0797827658659487,0.09592237503841895
polar_cov_joint,15.0,8,True,True,0.012491771060179867,-0.01270016959828813,-0.0016311331847608025,0.002354677944687564,221.2959970731867,12,2.0840008528838547,0.09573485043160664
polar_staged,15.0,8,True,True,0.012491746960462569,-0.012700146161545606,-0.0016311224545950361,0.002354674155880424,221.29599707319153,24,2.084000855571897,0.09573485038257547
uv_joint,15.0,9,True,True,0.017525382527612814,-0.016692486200563312,-0.006503600218902784,0.003199117813826413,243.30563675202546,16,2.083435934011608,0.09576426842579469
polar_plain_joint,15.0,9,True,True,0.16672611327143189,-0.042682452301207284,-0.032502328576426084,0.1677645167769665,482.72586956138736,16,2.0797827356039433,0.09592237662871152
polar_cov_joint,15.0,9,True,True,0.012491771118532634,-0.012700169649081588,-0.001631133309357442,0.002354678089281941,221.29599707318684,14,2.084000853070207,0.0957348504421993
polar_staged,15.0,9,True,True,0.012491746960462569,-0.012700146068244031,-0.0016311225973208371,0.0023546742673334216,221.29599707319022,23,2.084000855422268,0.09573485036999817
uv_joint,30.0,0,True,True,0.017525381155050885,-0.01669248452116683,-0.006503600320969964,0.00319911476153396,243.3056367520253,14,2.083435934148358,0.09576426841140663
polar_plain_joint,30.0,0,True,True,0.16672610270862304,-0.042682451446841914,-0.032502337377450265,0.16776450386057176,482.72586956141447,17,2.0797827353412255,0.09592237668091008
polar_cov_joint,30.0,0,True,True,0.012491771818765852,-0.012700170242371125,-0.0016311340557238964,0.002354678161566407,221.29599707318653,14,2.084000852919155,0.09573485046165944
polar_staged,30.0,0,True,True,0.012491747077168332,-0.012700146302316955,-0.001631122463584874,0.002354674126110433,221.2959970731903,28,2.0840008554301375,0.09573485032938579
uv_joint,30.0,1,True,True,0.0175253811134581,-0.01669248448343273,-0.006503600332078052,0.0031991149044712677,243.30563675202546,13,2.083435934163912,0.09576426842157512
polar_plain_joint,30.0,1,True,True,0.16672668275711064,-0.042682272142451544,-0.032501697940776515,0.1677652520768942,482.7258695673768,21,2.0797827846426844,0.09592237298541716
polar_cov_joint,30.0,1,True,True,0.012491771118532634,-0.012700169597368948,-0.0016311338313850622,0.0023546781188738216,221.29599707318616,14,2.08400085308751,0.09573485042648519
polar_staged,30.0,1,True,True,0.012491746960462569,-0.012700146139629992,-0.0016311224721882744,0.0023546743995586216,221.29599707319105,26,2.084000855527854,0.09573485035694583
uv_joint,30.0,2,True,True,0.017525381155050885,-0.016692484548929888,-0.006503600349882796,0.0031991150455384096,243.30563675202546,17,2.0834359341046436,0.09576426842457214
polar_plain_joint,30.0,2,True,True,0.1667261407015044,-0.04268239249321898,-0.03250230434152814,0.16776455251697076,482.72586956137786,13,2.079782742574247,0.0959223764649547
polar_cov_joint,30.0,2,True,True,0.012491771702060318,-0.012700170218881139,-0.001631133694834308,0.0023546781727492375,221.29599707318644,13,2.084000853055446,0.09573485043281355
polar_staged,30.0,2,True,True,0.012491746960462569,-0.012700146180597126,-0.0016311225302858764,0.002354674287949777,221.2959970731911,34,2.0840008554383194,0.09573485035693208
uv_joint,30.0,3,True,True,0.0175253811134581,-0.016692484454920643,-0.00650360042204004,0.0031991151042673523,243.30563675202615,14,2.083435934230337,0.09576426841108482
polar_plain_joint,30.0,3,True,True,0.16672601837226506,-0.04268250869902713,-0.03250243708256458,0.16776439272329235,482.7258695620132,17,2.079782724984982,0.09592237725170992
polar_cov_joint,30.0,3,True,True,0.012491771118532634,-0.01270016962014013,-0.0016311333211509386,0.002354677913225517,221.29599707318621,16,2.084000852910007,0.09573485043543943
polar_staged,30.0,3,True,True,0.01249174701881545,-0.012700146189289583,-0.001631122528762391,0.0023546741086937157,221.29599707319008,28,2.0840008556002347,0.095734850381672
uv_joint,30.0,4,True,True,0.017525381155050885,-0.01669248450306629,-0.006503600470664361,0.003199115039202745,243.30563675202663,14,2.0834359343136923,0.09576426842731636
polar_plain_joint,30.0,4,True,True,0.1667261168914672,-0.042682632055697035,-0.032502321099915285,0.16776451656116267,482.7258695619558,18,2.079782718784734,0.09592237663643707
polar_cov_joint,30.0,4,True,True,0.012491772869115608,-0.01270017130589136,-0.0016311343371918539,0.002354678356782492,221.29599707318644,14,2.084000853041299,0.09573485045866972
polar_staged,30.0,4,True,True,0.01249174701881545,-0.012700146189520173,-0.0016311224530238422,0.002354674206095022,221.2959970731901,25,2.0840008554884433,0.09573485036791923
uv_joint,30.0,5,True,True,0.01752538127982925,-0.01669248462090584,-0.0065036004846874265,0.003199115032501316,243.30563675202558,13,2.0834359340378636,0.09576426842522516
polar_plain_joint,30.0,5,True,True,0.16672612570983797,-0.04268232341589685,-0.03250230330262222,0.16776453906211763,482.7258695615841,12,2.07978274924607,0.09592237641642806
polar_cov_joint,30.0,5,True,True,0.012491772927468368,-0.01270017138953518,-0.0016311341457304132,0.002354678379513916,221.29599707318621,12,2.0840008527380576,0.09573485044352466
polar_staged,30.0,5,True,True,0.012491747135521213,-0.012700146287028029,-0.0016311225924609497,0.002354674378058072,221.29599707319124,30,2.084000855505201,0.09573485035787056
uv_joint,30.0,6,True,True,0.017525381196643673,-0.01669248454683549,-0.006503600479293205,0.003199115009897114,243.30563675202546,15,2.0834359342038606,0.09576426839480057
polar_plain_joint,30.0,6,True,True,0.16672602228085615,-0.04268272109710646,-0.03250243010072704,0.16776439170509502,482.72586956332634,14,2.0797827049174784,0.09592237728904375
polar_cov_joint,30.0,6,True,True,0.012491771118532634,-0.012700169621304214,-0.001631133324558903,0.0023546781104103656,221.29599707318457,16,2.084000852983603,0.09573485041772314
polar_staged,30.0,6,True,True,0.012491747077168332,-0.012700146258091342,-0.0016311226040381687,0.002354674358281383,221.29599707319056,31,2.084000855357875,0.09573485036839852
uv_joint,30.0,7,True,True,0.017525381155050885,-0.016692484501150007,-0.00650360035661126,0.00319911468406837,243.30563675202623,15,2.083435934259736,0.09576426843432025
polar_plain_joint,30.0,7,True,True,0.16672612931675695,-0.04268262742382663,-0.03250235036854037,0.16776452379962173,482.7258695620527,17,2.0797827178968977,0.09592237681985545
polar_cov_joint,30.0,7,True,True,0.012491771760413085,-0.012700170242018085,-0.0016311336744278691,0.002354678278928875,221.29599707318638,14,2.0840008528893526,0.09573485042677607
polar_staged,30.0,7,True,True,0.012491747077168332,-0.012700146283336995,-0.0016311223776415158,0.0023546741950425942,221.29599707319088,29,2.084000855491557,0.09573485035424134
uv_joint,30.0,8,True,True,0.017525381321422038,-0.016692484689664663,-0.006503600372768478,0.0031991149292000805,243.30563675202748,13,2.0834359340709137,0.09576426842346943
