method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,translation_error_m,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_polar_staged,100.0,1,False,True,100.90022341827978,0.28,0.762197005969388,1.5449787387795602,1.542712674434606,0.28004656255377586,1.5554480682577894,0.41448654267982354,1.4845695475628746,0.17051423156764714,0.35094616168455806,0.16013206256246476,18015.95030182157,118
ba_uv_joint,100.0,2,False,False,104.29001615346962,0.28,0.6159817743224065,nan,104.27609808847369,0.28003891702578865,24.00336396989909,99.9908982434001,5.665788026408576,3.7394933764707465,5.280188593818847,3.630168853989695,186791.51536424234,120
ba_polar_plain_joint,100.0,2,False,False,104.29001615346962,0.28,0.6159817743224065,nan,101.44428278598116,0.2799973292066821,23.99990543217938,99.99579227793205,3.107317094104637,0.6440671410647977,2.846135437041191,0.6345309404890765,48332.005807967325,120
ba_polar_cov_joint,100.0,2,False,False,104.29001615346962,0.28,0.6159817743224065,nan,101.44455850596486,0.2799946264393067,24.000325302352124,99.99603653802325,2.2194174604995456,0.6200618946049925,1.806311822104797,0.6179267555202297,151685.27649952302,120
ba_polar_staged,100.0,2,False,True,104.29001615346962,0.28,0.6159817743224065,2.0048992423172676,1.9949553669251137,0.2799318357173228,1.9600849086649275,0.7419211838079752,1.465471184116601,0.13065457162204747,0.29321754862970395,0.1270235018063381,20365.672755532592,112
ba_uv_joint,100.0,3,False,False,107.65234940708363,0.2800000000000001,0.6843695742314804,nan,96.82355328001175,1.2802446361709385,24.299226017238716,99.99719239069799,5.057749439442398,3.6661569527384863,4.523256620328936,3.6117551559200987,144665.08135745552,120
ba_polar_plain_joint,100.0,3,False,False,107.65234940708363,0.2800000000000001,0.6843695742314804,nan,37.85975761845671,0.2799983049211906,23.99849054534044,24.189958128206143,4.677879252519925,3.5826856095700057,4.236206715015225,3.553072911028611,47143.40460966738,120
ba_polar_cov_joint,100.0,3,False,False,107.65234940708363,0.2800000000000001,0.6843695742314804,nan,36.82315092529191,0.2800049204094878,23.995432860881515,22.866348715148714,4.80661496848659,3.6422888326590295,4.350669385000819,3.6122983081134894,114953.86003071765,120
ba_polar_staged,100.0,3,False,True,107.65234940708363,0.2800000000000001,0.6843695742314804,1.7237158078060373,1.726704432094612,0.27957141000510527,1.7343782280064015,0.6929564248478153,1.4733009069010574,0.13586023395909164,0.28984711040878336,0.12615129091416316,18772.070613279175,114
ba_uv_joint,100.0,4,False,False,108.0042015115653,0.27999999999999997,0.6380651346951592,nan,107.88085324563738,0.28002575988526596,23.988675090423772,99.97358450085551,7.066777371285599,5.228131044694305,6.709649437447654,5.128118408301329,284374.7052452237,120
ba_polar_plain_joint,100.0,4,False,False,108.0042015115653,0.27999999999999997,0.6380651346951592,nan,27.84874894249724,0.28003940621720735,26.24762034829978,6.82290945697451,1.554717325586591,0.499250103396821,0.6639195635561607,0.4935309278054947,35946.44630196933,120
ba_polar_cov_joint,100.0,4,False,False,108.0042015115653,0.27999999999999997,0.6380651346951592,nan,32.4734006130307,0.2800673147263832,30.787352969878967,6.044794295498464,1.6800698512487953,0.6761739110649416,0.6511658116813552,0.6713136037247666,121863.1647340955,120
ba_polar_staged,100.0,4,False,True,108.0042015115653,0.27999999999999997,0.6380651346951592,2.51243907564158,2.5112498307561544,0.27995273713845653,2.529239863272619,1.411614545958371,1.4757277328563847,0.18193693284410778,0.3489890816611011,0.17390072958501762,19206.759937962845,116
ba_uv_joint,100.0,5,False,False,100.20984492997856,0.27999999999999997,0.7592820853792528,nan,100.17377829207032,0.2801495487051637,41.27651666259512,99.96167966414528,1.826147670320189,0.5258948527213541,1.0122973206078318,0.5018669970843748,144456.69305867233,120
ba_polar_plain_joint,100.0,5,False,False,100.20984492997856,0.27999999999999997,0.7592820853792528,nan,100.19478087418695,0.2800226250515429,23.998853995391947,99.98444691755782,1.7207436595716554,0.5038274958756486,1.0276710139132341,0.5043672275966571,34963.4027251746,120
ba_polar_cov_joint,100.0,5,False,False,100.20984492997856,0.27999999999999997,0.7592820853792528,nan,100.19756086608417,0.28001994263635094,25.162963335054087,99.9871408136422,4.1478035353065135,2.7413707034849404,3.9596454023600374,2.7571096015277696,129569.82650733016,120
ba_polar_staged,100.0,5,False,True,100.20984492997856,0.27999999999999997,0.7592820853792528,2.69948957292182,2.6867716935934065,0.28001879885660574,2.2929954107317587,1.201837674934524,1.4692790319807956,0.12275518114504982,0.2970443335724588,0.11436467588369552,17938.794670399744,120
